sim,a_skill,s_skill,eps_outside,U_outside_total,choice,feasible_firm_1,feasible_firm_2,feasible_firm_3,feasible_firm_4,feasible_firm_5,feasible_firm_6,feasible_firm_7,feasible_firm_8,feasible_firm_9,feasible_firm_10,eps_firm_1,eps_firm_2,eps_firm_3,eps_firm_4,eps_firm_5,eps_firm_6,eps_firm_7,eps_firm_8,eps_firm_9,eps_firm_10,U_firm_1,U_firm_2,U_firm_3,U_firm_4,U_firm_5,U_firm_6,U_firm_7,U_firm_8,U_firm_9,U_firm_10
23,-0.12946547483351986,7.307819014262068,0.5997265084948028,0.5997265084948028,3,False,False,True,False,False,False,False,False,False,False,-0.8343599107713063,0.3883471430466346,4.826357170971879,1.7240565042038594,2.2568664097506024,1.6089479412658538,1.153630314387809,2.5463045995119855,-0.7473267972962235,-0.11215919809359397,-inf,-inf,5.397940314092405,-inf,-inf,-inf,-inf,-inf,-inf,-inf
24,-2.5523208475213064,4.884963641574282,-0.8284646175188897,-0.8284646175188897,0,False,False,False,False,False,False,False,False,False,False,0.05562478606535021,-0.13525561064004216,-0.2207718197806485,0.5466915354480067,1.0585545834507237,-0.7785141212647083,0.7752551056694144,0.5549339100046504,1.1290457642978298,0.2148780898412041,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
25,0.8709559507452387,8.308240439840826,0.5706370552969422,0.5706370552969422,1,True,False,True,False,False,False,False,False,False,False,0.8304809987897489,0.24804441187572399,0.7311386369716508,-0.41213653309265524,1.7925115109389507,-0.24264517318478054,1.4522731048642177,-0.9890252052767464,0.721300726962373,0.9384416828379846,3.48235733881621,-inf,1.3027217800921762,-inf,-inf,-inf,-inf,-inf,-inf,-inf
26,0.1873738949158508,7.624658384011439,3.025468148098424,3.025468148098424,0,False,False,True,False,False,False,False,False,False,False,-1.3350680666294859,-0.9710351027732997,-0.08848407521349966,0.17073829420220657,0.29695294504384284,2.4406750097101124,2.3520849024943358,-0.1597914656039583,-1.1535159087242093,0.3370701804914724,-inf,-inf,0.48309906790702584,-inf,-inf,-inf,-inf,-inf,-inf,-inf
27,0.026751428821072128,7.46403591791666,-0.5682457292422421,-0.5682457292422421,3,False,False,True,False,False,False,False,False,False,False,-0.5738354649878386,0.8910023316201882,-0.1300344940616657,1.879502489621133,1.7247613851695045,-0.21738812564459536,0.3379914266417511,0.11767934143803924,0.2987839350791448,-1.0371747195635297,-inf,-inf,0.4415486490588598,-inf,-inf,-inf,-inf,-inf,-inf,-inf
28,-0.6381162240910121,6.799168265004576,-0.8302346960968657,-0.8302346960968657,3,False,False,True,False,False,False,False,False,False,False,1.0648906749145501,-1.3591135502959357,-0.5353413385194217,2.2549512774137024,2.3953965167107785,1.5483398915448225,0.8915066455825381,1.3953723750819818,2.933092406300783,0.5296503314490875,-inf,-inf,0.03624180460110382,-inf,-inf,-inf,-inf,-inf,-inf,-inf
29,-0.23358150972978947,7.203702979365799,0.47619438817089055,0.47619438817089055,3,False,False,True,False,False,False,False,False,False,False,-0.4253375900964248,0.9460472086920143,3.190831340476014,-0.5872384903936055,0.3945707609179696,1.2732842089266803,-0.9687576968866916,-0.2842475095494,0.6020835156294375,0.8524532670928218,-inf,-inf,3.7624144835965394,-inf,-inf,-inf,-inf,-inf,-inf,-inf
30,-1.9817549087713968,5.455529580324191,1.0894975556429831,1.0894975556429831,0,False,False,False,False,False,False,False,False,False,False,-0.22966673008186936,2.5427714493299125,0.7499902702650805,0.11044171885142609,-0.29781044141024227,-0.3060047907584292,1.0608248974673533,0.9179234345114688,1.7649129286562757,-0.2675042376142209,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
31,-0.4887979290835396,6.948486560012048,0.4235156686834126,0.4235156686834126,0,False,False,True,False,False,False,False,False,False,False,-0.8328427070777796,5.043718992668839,-0.6641144351908324,-0.2975030095539312,-0.035431644235056285,0.6487645339572736,0.022025645481402196,-1.0879073746346604,2.3012573469433075,2.656723257285914,-inf,-inf,-0.09253129207030686,-inf,-inf,-inf,-inf,-inf,-inf,-inf
32,1.4779425699326636,8.915227059028252,2.218588951945134,2.218588951945134,3,True,False,True,False,False,False,False,False,False,False,-0.9155194550691935,-0.4371190246454957,1.7575192758906155,0.7596949660875655,0.6221063510296178,-1.1276369878286532,0.9180079640267889,0.4241472124503287,0.28393326594700763,-0.4202605855697363,1.7363568849572677,-inf,2.329102419011141,-inf,-inf,-inf,-inf,-inf,-inf,-inf
33,-3.218523659207712,4.218760829887875,-0.10527164453090714,-0.10527164453090714,0,False,False,False,False,False,False,False,False,False,False,0.7951741846419268,1.3465869436143185,0.6780155792431549,0.15357179551457253,-0.3759556890846055,-1.1651424413835663,-0.7259731660153621,-0.4383273200983609,-0.8369031047918164,-0.17470358473540484,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
34,-0.34544931923256145,7.091835169863026,0.3276460825635286,0.3276460825635286,0,False,False,True,False,False,False,False,False,False,False,2.34869752237497,-0.2681659568038522,-1.0871279096960287,3.456745160932434,0.027261641378447124,1.0119473564177262,0.6581260075214909,-0.9171871104307125,0.8988176678701751,0.017146648666574775,-inf,-inf,-0.5155447665755032,-inf,-inf,-inf,-inf,-inf,-inf,-inf
35,-1.2216661476600996,6.215618341435489,-0.961263669475146,-0.961263669475146,3,False,False,True,False,False,False,False,False,False,False,0.7766672112011971,2.256929433816294,0.6106416627214354,0.6550925349763372,-0.7729387917724896,0.9098346830661006,1.0551323819785363,0.6489121964255248,-0.16079613690522165,0.6001605881407142,-inf,-inf,1.1822248058419609,-inf,-inf,-inf,-inf,-inf,-inf,-inf
36,-0.46416688111796645,6.973117607977621,-0.2140019106289049,-0.2140019106289049,3,False,False,True,False,False,False,False,False,False,False,3.605875567301748,1.9456103380838268,-0.2557301401109031,-0.8658578416140281,-0.7019138377185419,-0.20561065457342814,-1.388627008755306,-0.6505945636298434,-0.1683597221439581,-0.021751070622571082,-inf,-inf,0.3158530030096224,-inf,-inf,-inf,-inf,-inf,-inf,-inf
37,2.641597617685599,10.078882106781187,-0.7521543815416146,-0.7521543815416146,4,True,False,True,True,False,True,True,False,False,False,1.138629660288437,-0.6545517310852995,0.11964651651627281,8.587630955519957,1.516291980569387,-0.41363356764216025,0.8702665349459353,-0.6162109671892644,0.08013204778182274,-1.4624700873044003,3.790506000314898,-inf,0.6912296596367983,12.016755662173681,-inf,5.045503149815013,4.169687573938265,-inf,-inf,-inf
38,0.36770628886004836,7.804990777955636,2.326244653502248,2.326244653502248,0,False,False,True,False,False,False,False,False,False,False,-0.5982046985039374,-0.08652874687021142,1.3918346816937957,0.3183698078578663,1.7442714522749523,0.761678240808635,-0.3116397201670806,0.504219938330558,-0.07983419220085645,-0.8311936874338446,-inf,-inf,1.963417824814321,-inf,-inf,-inf,-inf,-inf,-inf,-inf
39,-1.610677408218657,5.826607080876931,2.337452485402553,2.337452485402553,0,False,False,False,False,False,False,False,False,False,False,0.6314241340617995,0.9676061802920631,0.42931636223648323,-0.8204624591810658,0.8676921479815595,-0.30201978963129306,0.4594483832713169,-0.5979699162307671,1.3138047792662861,0.29949232096959794,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
